top_dressing,fertilizer_type,timing,block1,block2,block3,block4,block5,block6,block7,block8
0,,,491,634,604,732,629,677,551,650
0,,,524,668,599,690,632,676,636,644
0,,,545,666,502,710,671,703,506,717
0,,,577,679,689,660,622,637,670,678
1,sulphate,early,620,646,681,644,706,615,552,726
1,sulphate,late,644,745,542,711,705,637,543,646
1,muriate,early,523,713,686,688,692,612,635,748
1,muriate,late,601,693,685,714,699,697,701,746
2,sulphate,early,664,693,666,516,656,663,657,683
2,sulphate,late,514,637,697,710,633,595,697,712
2,muriate,early,550,708,663,673,671,626,655,671
2,muriate,late,521,661,594,730,625,644,745,747
