,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , ,3, , , , , , , , ,USH00011084, , , , , , , , , , , , ,-9999,-9999,-9999,1706,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1891
1, , , , , , , , , , , , ,3,3,3, ,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,1250,2056,2200,-9999,2172,2744,2844,3256,3078,3372,3106,3033,1892
2, , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,1361,2017,2128,2100,2017,2628,2900,3322,3456,3372,3294,2706,1893
3, , , , , , , , , , , , ,3,3,3,3,3,3,3,3, , , ,3,USH00011084, , , , , , , , , , , , ,1939,1750,2267,2056,2222,2767,3094,3422,-9999,-9999,-9999,2839,1894
4, , , , , , , , , , , , ,3,3, , ,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,1539,1311,-9999,-9999,2261,2550,2844,3239,3372,3361,3344,2561,1895
5, , , , , , , , , , , , ,3,3,3,3,3, ,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,1500,1850,2100,1472,2000,-9999,3150,3189,3278,3422,3156,2633,1896
6, , , , , , , , , , , , ,3,3, , ,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,1439,1922,-9999,-9999,2583,2539,2789,3572,3422,3161,3233,2761,1897
7, , , , ,a, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,-9999,-9999,2200,1856,2067,2689,3167,3189,3417,3622,3483,2861,1900
8, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,-9999,2037,2013,2151,1907,2623,3042,3375,3399,3377,3437,2846,1926
9, , , ,f, , , , , ,a, , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1962,2466,2686,1463,2403,2936,3172,3350,3439,3184,3351,2976,1927
10,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1390,1845,-9999,-9999,2265,2485,3011,3228,3533,3532,-9999,-9999,1928
11, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1675,2163,1884,1407,1907,2768,3097,3422,3550,3424,3029,2442,1930
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1486,1768,2457,2106,1717,2299,2729,3252,3193,3084,3189,2609,1931
