,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,., ,.,.,b, ,.,.,., , ,.,2,2,2,2, ,2,2,2,2, ,2,2,USH00013160, , , , , , , , , , , , ,808,1412,673,582,591,561,1760,935,1572,51,676,307,1893
1,.,.,.,.,., , , , , ,.,.,2,2,2,2,2,2,2,2,2,2,2,2,USH00013160, , , , , , , , , , , , ,655,1773,185,1201,1240,1222,549,673,480,2080,216,752,1894
2,.,., , ,., , , , , , , ,2,2, , ,2, , , ,2, , , ,USH00013160, , , , , , , , , , , , ,1699,904,469,981,2322,498,826,574,1293,668,254,533,1895
3, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1630,1150,818,589,1553,1249,1490,1694,1018,407,157,446,1896
4, , , , , , , , , , , , , , , , , , , , , , , ,2,USH00013160, , , , , , , , , , , , ,909,1885,453,266,1921,352,102,94,142,267,178,13,1897
5, , ,.,., , , , , , , , , , ,2,2, , , , , , , , ,USH00013160, , , , , , , , , , , , ,209,99,1801,937,547,757,25,521,1025,822,167,529,1898
6, , , , , , ,., , , , , , , , , , , ,2, , , , , ,USH00013160, , , , , , , , , , , , ,443,2385,310,1558,455,1011,439,429,1675,717,373,435,1899
7, , , , , , , , , ,., , , , , , , , , , , ,2, , ,USH00013160, , , , , , , , , , , , ,968,2248,1310,873,1419,1703,306,2127,643,1021,1239,1599,1900
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1859,1275,574,1054,1837,1047,1487,218,1157,1315,750,201,1901
9, , , , ,.,., , , , , , , , , , ,2,2, , , , , , ,USH00013160, , , , , , , , , , , , ,1929,1839,1405,1948,2489,559,1241,68,475,785,529,1303,1902
