,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, ,c, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , ,O, , ,-9999,861,-9999,-9999,892,1598,-9999,-9999,-9999,2608,1700,977,1893
1, ,g, , , , ,c, , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,200,-9999,-9999,936,1139,1504,1573,2061,2083,-9999,-9999,1894
2, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,-9999,639,88,-9999,-9999,1495,1958,2117,2130,1897,778,1895
3, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,194,362,788,280,661,1419,1845,2002,2210,2226,1809,1109,1896
4, , , ,b, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,204,628,590,540,1134,1051,1342,2043,2200,2084,1786,1163,1897
5,a, , , ,a,c, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,601,212,494,93,987,840,1561,2077,2162,2096,1880,1089,1898
6, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,167,13,714,246,746,1093,-9999,2021,2141,2144,1575,1291,1899
7, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,66,2,679,251,499,1146,1426,2002,2128,-9999,1893,1559,1900
8,e, ,a,e, , , ,a,a,b, ,b, , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,274,170,230,-114,652,835,1433,1988,2192,2069,1640,936,1901
9,a,a,c, ,e,i, ,b,b, , ,c, , , , , ,3, , , , , , ,USH00013160, , , , , , , , , , , , ,50,-33,707,146,635,961,1808,2125,2200,2206,1720,946,1902
10, , ,a, , , , ,a, , ,a, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,-9999,409,-307,1072,822,1454,1718,2112,2113,1589,954,1903
11, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-109,321,503,193,678,850,1334,1786,1797,1869,1571,933,1904
12,a, , , , , , , ,c, , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-612,-245,656,129,-9999,1093,1752,1916,1990,2025,1735,1185,1905
13, , , , , , , , , ,a, , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,266,57,575,520,502,1035,1389,1910,2011,2026,1984,961,1906
14,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,630,328,426,257,1136,839,1396,1700,2046,1988,1739,923,1907
15,a, , , , ,a, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,81,86,791,552,1083,1341,1468,1786,1971,1904,1673,707,1908
16,a, , ,a, ,a, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,511,404,710,29,798,1080,1378,1979,2098,2086,1777,894,1909
17,a, , , , ,a, , , , ,b, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,209,259,461,34,810,933,1369,1839,2068,2014,1829,1215,1910
18,a, ,a, , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,485,764,391,489,763,1216,1471,1965,1975,1998,1958,1426,1911
19,a,b, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-33,59,170,277,-9999,1123,1465,1820,2063,1997,1913,1185,1912
20, , , , ,i, , ,b, , , ,a, , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,428,142,541,370,565,885,1430,1761,2107,1975,1689,831,1913
21,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,156,38,351,226,337,1061,1401,2128,2111,2081,1675,1163,1914
22, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,13,298,573,101,142,953,1710,1913,2050,2032,1773,1295,1915
23,a,a, ,a, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,497,67,421,180,452,952,1546,1893,2145,2074,1674,1071,1916
24, , , , ,a,a, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,418,200,279,-171,663,979,1106,1833,2081,1985,1670,620,1917
25, , , , , ,a, , , ,a,b, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-268,485,544,483,988,952,1566,1955,1871,2014,1424,1561,1918
26, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,51,276,682,221,673,966,1504,2001,2103,2087,1688,1838,1919
27, , , , , ,a, , , ,a, , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,338,171,262,100,355,1081,1556,1839,2092,2017,1893,920,1920
28, , , , , , , , , ,a, , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,356,295,766,335,1070,1001,1466,1995,2144,2084,2071,878,1921
