component_1,component_2,component_3,coop_id,country_code,elevation,id,id_place_holder,latitude,longitude,name,network_code,state,utc_offset
------,------,------,011084,US,25.9,USH00011084,00,31.0581,-87.0547,BREWTON 3 SSE                 ,H,AL,6
------,------,------,012813,US,7.0,USH00012813,00,30.5467,-87.8808,FAIRHOPE 2 NE                 ,H,AL,6
011694,------,------,013160,US,38.1,USH00013160,00,32.8347,-88.1342,GAINESVILLE LOCK              ,H,AL,6
------,------,------,013511,US,67.1,USH00013511,00,32.7017,-87.5808,GREENSBORO                    ,H,AL,6
------,------,------,013816,US,132.0,USH00013816,00,31.87,-86.2542,HIGHLAND HOME                 ,H,AL,6
------,------,------,015749,US,164.6,USH00015749,00,34.7442,-87.5997,MUSCLE SHOALS AP              ,H,AL,6
------,------,------,017157,US,243.8,USH00017157,00,34.1736,-86.8133,SAINT BERNARD                 ,H,AL,6
------,------,------,017304,US,187.5,USH00017304,00,34.6736,-86.0536,SCOTTSBORO                    ,H,AL,6
------,------,------,017366,US,44.8,USH00017366,00,32.41,-87.0153,SELMA                         ,H,AL,6
------,------,------,018024,US,136.6,USH00018024,00,33.4164,-86.135,TALLADEGA                     ,H,AL,6
------,------,------,018178,US,118.9,USH00018178,00,31.5411,-87.8833,THOMASVILLE                   ,H,AL,6
------,------,------,018323,US,165.2,USH00018323,00,31.8075,-85.9722,TROY                          ,H,AL,6
018385,018454,------,018380,US,51.5,USH00018380,00,33.2119,-87.6161,TUSCALOOSA ACFD               ,H,AL,6
------,------,------,018438,US,134.1,USH00018438,00,32.0142,-85.7464,UNION SPRINGS 9 S             ,H,AL,6
------,------,------,018469,US,323.7,USH00018469,00,34.5667,-85.6128,VALLEY HEAD                   ,H,AL,6
------,------,------,020080,US,539.5,USH00020080,00,32.3697,-112.86,AJO                           ,H,AZ,7
------,------,------,021026,US,271.3,USH00021026,00,33.3761,-112.5828,BUCKEYE                       ,H,AZ,7
021634,------,------,021248,US,709.9,USH00021248,00,36.1533,-109.5394,CANYON DE CHELLY              ,H,AZ,7
025467,------,------,021514,US,434.3,USH00021514,00,33.2058,-111.6819,CHANDLER HEIGHTS              ,H,AZ,7
------,------,------,021614,US,807.7,USH00021614,00,34.3494,-111.6981,CHILDS                        ,H,AZ,7
------,------,------,023160,US,239.4,USH00023160,00,35.2681,-111.7428,FT VALLEY                     ,H,AZ,7
023591,023595,------,023596,US,68.1,USH00023596,00,36.0528,-112.1503,GRAND CANYON NP 2             ,H,AZ,7
------,------,------,024089,US,549.9,USH00024089,00,34.9094,-110.1544,HOLBROOK                      ,H,AZ,7
024639,------,------,024645,US,78.7,USH00024645,00,35.2,-114.0167,KINGMAN #2                    ,H,AZ,7
------,------,------,024849,US,978.4,USH00024849,00,36.8644,-111.6022,LEES FERRY                    ,H,AZ,7
------,------,------,025512,US,85.1,USH00025512,00,33.4044,-110.87,MIAMI                         ,H,AZ,7
------,------,------,026250,US,128.0,USH00026250,00,34.1547,-114.2897,PARKER                        ,H,AZ,7
022669,022659,------,026353,US,325.9,USH00026353,00,31.9356,-109.8378,PEARCE SUNSITES               ,H,AZ,7
------,------,------,026796,US,586.5,USH00026796,00,34.5706,-112.4322,PRESCOTT                      ,H,AZ,7
------,------,------,027281,US,672.1,USH00027281,00,33.6731,-111.1508,ROOSEVELT 1 WNW               ,H,AZ,7
------,------,------,027370,US,391.7,USH00027370,00,33.08,-111.7417,SACATON                       ,H,AZ,7
027388,------,------,027390,US,900.4,USH00027390,00,32.815,-109.6808,SAFFORD AGRICULTRL CTR        ,H,AZ,7
------,------,------,027435,US,764.8,USH00027435,00,34.5172,-109.4028,SAINT JOHNS                   ,H,AZ,7
------,------,------,027716,US,600.2,USH00027716,00,35.3322,-112.8797,SELIGMAN                      ,H,AZ,7
------,------,------,028619,US,405.1,USH00028619,00,31.7056,-110.0569,TOMBSTONE                     ,H,AZ,7
------,------,------,028815,US,742.2,USH00028815,00,32.2292,-110.9536,TUCSON WFO                    ,H,AZ,7
------,------,------,029271,US,560.6,USH00029271,00,33.8169,-109.9833,WHITERIVER 1 SW               ,H,AZ,7
------,------,------,029287,US,638.6,USH00029287,00,33.9792,-112.7403,WICKENBURG                    ,H,AZ,7
------,------,------,029359,US,57.4,USH00029359,00,35.2406,-112.1903,WILLIAMS                      ,H,AZ,7
------,------,------,029652,US,58.2,USH00029652,00,32.6114,-114.635,YUMA CITRUS STN               ,H,AZ,7
------,------,------,030936,US,56.4,USH00030936,00,34.8822,-91.2153,BRINKLEY                      ,H,AR,6
------,------,------,031596,US,96.0,USH00031596,00,35.0842,-92.4289,CONWAY                        ,H,AR,6
------,------,------,031632,US,91.4,USH00031632,00,36.4197,-90.5858,CORNING                       ,H,AR,6
------,------,------,032356,US,432.8,USH00032356,00,36.4164,-93.7917,EUREKA SPRINGS 3 WNW          ,H,AR,6
022442,------,------,032444,US,387.1,USH00032444,00,36.1006,-94.1744,FAYETTEVILLE EXP STN          ,H,AR,6
------,------,------,032930,US,384.0,USH00032930,00,36.4261,-94.4481,GRAVETTE                      ,H,AR,6
------,------,------,034572,US,153.0,USH00034572,00,36.4947,-91.535,MAMMOTH SPRING                ,H,AR,6
------,------,------,034756,US,344.4,USH00034756,00,34.5731,-94.2494,MENA                          ,H,AR,6
------,------,------,035186,US,69.5,USH00035186,00,35.6042,-91.2744,NEWPORT                       ,H,AR,6
035508,------,------,035512,US,253.0,USH00035512,00,35.5125,-93.8683,OZARK 2                       ,H,AR,6
------,------,------,035754,US,65.5,USH00035754,00,34.2256,-92.0189,PINE BLUFF                    ,H,AR,6
------,------,------,035820,US,96.0,USH00035820,00,36.2639,-90.9681,POCAHONTAS 1                  ,H,AR,6
------,------,------,035908,US,93.9,USH00035908,00,33.8203,-93.3878,PRESCOTT 2 NNW                ,H,AR,6
227582,------,------,036253,US,45.7,USH00036253,00,33.81,-91.2703,ROHWER 2 NNE                  ,H,AR,6
------,------,------,036928,US,152.4,USH00036928,00,35.3028,-93.6369,SUBIACO                       ,H,AR,6
------,------,------,040693,US,94.5,USH00040693,00,37.8744,-122.2589,BERKELEY                      ,H,CA,8
------,------,------,040924,US,81.7,USH00040924,00,33.6131,-114.5972,BLYTHE                        ,H,CA,8
------,------,------,041048,US,-30.5,USH00041048,00,32.9544,-115.5581,BRAWLEY 2 SW                  ,H,CA,8
------,------,------,041614,US,423.4,USH00041614,00,41.5336,-120.1736,CEDARVILLE                    ,H,CA,8
------,------,------,041715,US,56.4,USH00041715,00,39.6911,-121.8211,CHICO UNIV FARM               ,H,CA,8
------,------,------,041758,US,17.1,USH00041758,00,32.64,-117.0858,CHULA VISTA                   ,H,CA,8
------,------,------,041912,US,725.4,USH00041912,00,39.0911,-120.9481,COLFAX                        ,H,CA,8
------,------,------,042239,US,414.3,USH00042239,00,32.9897,-116.5872,CUYAMACA                      ,H,CA,8
------,------,------,042294,US,18.3,USH00042294,00,38.535,-121.7761,DAVIS 2 WSW EXP               ,H,CA,8
043603,------,------,042319,US,-59.1,USH00042319,00,36.4622,-116.8669,DEATH VALLEY                  ,H,CA,8
------,------,------,042728,US,217.9,USH00042728,00,38.3306,-120.6706,ELECTRA P H                   ,H,CA,8
------,------,------,042910,US,6.1,USH00042910,00,40.8097,-124.1603,EUREKA WFO WOODLEY IS         ,H,CA,8
------,------,------,042941,US,932.7,USH00042941,00,34.7042,-118.4275,FAIRMONT                      ,H,CA,8
------,------,------,043161,US,37.5,USH00043161,00,39.5092,-123.7567,FT BRAGG 5 N                  ,H,CA,8
------,------,------,043257,US,101.5,USH00043257,00,36.78,-119.7194,FRESNO YOSEMITE AP            ,H,CA,8
------,------,------,043747,US,74.7,USH00043747,00,36.3219,-119.6356,HANFORD 1 S                   ,H,CA,8
------,------,------,043761,US,341.4,USH00043761,00,41.8042,-123.3758,HAPPY CAMP RS                 ,H,CA,8
------,------,------,043875,US,32.9,USH00043875,00,38.6175,-122.8731,HEALDSBURG                    ,H,CA,8
------,------,------,044232,US,204.0,USH00044232,00,36.7981,-118.2036,INDEPENDENCE                  ,H,CA,8
------,------,------,044259,US,-6.4,USH00044259,00,33.7086,-116.2153,INDIO FIRE STN                ,H,CA,8
------,------,------,044713,US,571.5,USH00044713,00,39.3183,-120.6392,LAKE SPAULDING                ,H,CA,8
------,------,------,044890,US,156.4,USH00044890,00,36.3817,-119.0264,LEMON COVE                    ,H,CA,8
------,------,------,044997,US,146.3,USH00044997,00,37.6922,-121.7692,LIVERMORE                     ,H,CA,8
------,------,------,045032,US,12.2,USH00045032,00,38.1061,-121.2878,LODI                          ,H,CA,8
------,------,------,045385,US,17.4,USH00045385,00,39.1458,-121.5853,MARYSVILLE                    ,H,CA,8
------,------,------,045532,US,46.6,USH00045532,00,37.2858,-120.5117,MERCED                        ,H,CA,8
------,------,------,045983,US,94.2,USH00045983,00,41.3206,-122.3081,MT SHASTA                     ,H,CA,8
------,------,------,046074,US,10.7,USH00046074,00,38.2778,-122.2647,NAPA STATE HOSPITAL           ,H,CA,8
046115,------,------,046118,US,271.3,USH00046118,00,34.7675,-114.6189,NEEDLES AP                    ,H,CA,8
040395,------,------,046175,US,3.0,USH00046175,00,33.6025,-117.8803,NEWPORT BEACH HARBOR          ,H,CA,8
------,------,------,046399,US,227.1,USH00046399,00,34.4478,-119.2275,OJAI                          ,H,CA,8
------,------,------,046506,US,77.4,USH00046506,00,39.7458,-122.1997,ORLAND                        ,H,CA,8
------,------,------,046508,US,122.8,USH00046508,00,41.3089,-123.5317,ORLEANS                       ,H,CA,8
------,------,------,046719,US,263.3,USH00046719,00,34.1483,-118.1447,PASADENA                      ,H,CA,8
------,------,------,046730,US,213.4,USH00046730,00,35.6278,-120.6856,PASO ROBLES                   ,H,CA,8
------,------,------,046826,US,6.1,USH00046826,00,38.2578,-122.6078,PETALUMA AP                   ,H,CA,8
------,------,------,047195,US,42.4,USH00047195,00,39.9367,-120.9475,QUINCY                        ,H,CA,8
047296,047300,------,047304,US,151.5,USH00047304,00,40.5175,-122.2986,REDDING MUNI AP               ,H,CA,8
------,------,------,047306,US,401.7,USH00047306,00,34.0528,-117.1894,REDLANDS                      ,H,CA,8
