"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"3","1","3","2","4","1","2","2","5","2","5","2","5","1","4","5","5","5","5","5","1","5","2","5","1","5","1","5","5","5","5","1","5","2","5","1","5","2","5","5","2","1","5","1","5","1","5","2","5","5","6595","2143","2300","2450","2042","1290","2617","3360","1988","2327","9247","2449","1478","11562","2564","1490","1170","1677","730","908","3123","3859","2156","1779","3130","3949","3186","1974","1385","2419","1505","4001","1701","2054","1873","1507","1793","4537","879","1372","3168","2910","1033","1178","1639","3102","1121","1291","975","1908","2018-02-28 10:45:58","414","736","3","131",9,79,"US","38.2009","-84.8733"
"2","3","5","1","4","4","3","4","5","5","1","1","1","5","3","2","2","1","1","1","4","3","1","4","4","4","4","4","4","5","4","1","0","1","3","4","3","1","2","5","3","1","5","2","4","2","4","2","4","4","9588","5126","19156","4475","3799","2719","3693","2136","7088","2665","6150","6835","5308","2931","4962","11843","3570","2061","1826","1567","5595","6307","2106","31008","8410","1690","3390","3667","3233","2323","3661","4414","0","3903","4516","3099","2815","21085","10320","4658","3193","6746","9275","5548","20878","31974","24124","3849","2672","2216","2016-04-21 15:55:06","1600","900","38","346",11,64,"US","36.8463","-76.0979"
"2","3","2","4","3","4","1","1","5","4","5","4","5","3","4","4","4","4","5","3","4","3","4","3","1","5","3","3","4","4","2","3","3","1","3","1","5","4","4","4","1","4","3","2","2","3","3","1","4","2","20851","3512","5456","4567","5279","2072","8311","2279","162624","3392","1760","9199","1169","27936","2016","3480","1815","2177","30680","10370","11399","29415","2695","8457","4801","4536","4367","6913","27191","5241","11808","7633","7080","17712","9295","4888","4097","9271","10592","4879","1881","4809","4208","3312","2777","3353","3593","2232","3536","4783","2018-04-03 08:41:14","1600","900","2","536",9,33,"US","35.0585","-106.6236"
"1","2","3","4","3","1","1","3","2","3","2","4","2","5","2","1","1","1","3","1","2","3","3","3","2","3","3","4","4","4","5","1","5","1","5","1","5","1","4","4","5","1","3","2","5","1","5","4","3","5","11312","6865","2391","3828","2390","3365","6386","2362","5097","2713","5660","2447","3415","4625","4831","2423","2280","5087","2377","9058","5123","2295","3386","4140","2694","5021","1042","4487","5706","3215","2671","2644","4220","2041","3549","1928","3628","2127","2481","3225","2739","3670","4002","5612","2435","2381","2403","10070","11917","1130","2016-03-06 18:32:56","360","640","12","203",10,1,"CA","43.6425","-79.3872"
"2","1","5","1","5","1","4","2","4","1","4","3","4","5","2","3","1","1","2","1","1","5","1","4","2","2","2","2","3","1","4","2","3","1","4","4","4","2","3","3","4","1","3","1","4","1","2","3","3","3","13040","3024","3495","2248","5983","3896","6681","9139","4399","4250","3479","8631","4527","6041","5784","19072","6056","2800","6593","3552","17460","5384","4065","11834","10888","5792","4223","7400","4632","3521","10720","6859","9864","4008","4913","6201","3849","7791","6536","5703","2577","13265","6785","6151","8576","3431","6784","8881","10528","2728","2018-08-30 21:43:52","1500","1000","74","335",19,1,"US","41.8506","-87.7937"
"3","1","4","2","3","1","3","2","4","2","2","4","1","1","2","1","1","1","1","1","3","4","3","3","3","2","3","2","2","3","2","3","4","1","3","3","2","2","2","3","5","1","5","1","4","1","5","4","5","5","3774","3499","2898","2794","3128","2865","10006","3380","3316","3391","3353","3062","2989","3516","5827","2794","2999","2040","2774","1756","2879","4097","3874","2603","5725","5096","2962","3285","2758","4254","2066","3634","2759","3310","6197","4421","1914","3457","2069","4562","2223","3350","2072","3267","2733","2299","2779","3418","4232","1840","2018-07-31 13:59:43","1536","864","6","172",11,1,"IL","32.0667","34.7667"
"3","4","3","4","2","4","2","3","2","5","5","3","5","2","4","3","4","4","2","4","3","5","3","3","4","4","2","4","3","2","4","2","5","3","2","2","5","3","5","4","3","4","3","4","4","4","3","2","4","3","10660","7933","9466","3134","8354","4009","3728","1113","5553","26470","2632","2852","4369","3134","20062","9051","4554","4567","3653","3927","2118","4133","5120","4783","3385","2774","3858","7288","7225","2777","9662","6700","5699","3632","5211","5838","7162","21828","2371","16742","1884","6332","3632","5069","3083","3480","2866","3112","3664","1975","2016-10-13 10:05:03","320","568","765","400",303,25,"US","37.6393","-122.0442"
"1","5","2","5","1","5","1","5","2","5","4","3","4","1","2","2","1","1","4","3","4","2","1","2","5","2","5","2","2","3","3","1","4","2","2","2","4","4","2","3","3","2","2","4","2","2","4","3","4","3","2213","1784","1616","2793","1161","2297","3439","2903","1831","3663","3032","2751","1543","3415","1448","2976","2481","1713","1784","1568","3423","2223","2168","2984","1903","1872","1353","1273","2217","2640","2185","5297","2288","1416","1912","1720","2039","2655","1416","2393","1896","2585","1912","4328","1520","4640","1528","1912","5400","2583","2016-10-21 23:58:04","1920","1080","2","120",12,1,"US","38.0","-97.0"
"1","4","2","1","4","5","1","5","2","5","5","4","2","5","5","5","5","5","5","1","4","4","1","5","5","5","1","2","5","5","2","1","1","5","1","4","2","5","1","4","4","2","3","1","4","1","2","4","5","5","2472","5064","7435","7519","7738","2566","4734","3076","5688","1682","2163","5927","5248","12764","3648","6922","13539","1552","3326","4002","6892","2367","8911","2985","8144","1625","3834","7770","7048","4052","18713","6660","5025","2136","5270","6766","13095","2597","3942","4421","3221","3377","2120","5345","2585","8067","4796","11309","2967","1824","2016-03-14 22:45:33","1366","768","3","277",9,2,"PH","14.5833","120.9667"
"1","3","3","4","3","2","3","5","2","4","4","4","5","1","4","5","5","5","5","5","1","4","2","5","2","4","2","4","4","3","1","5","3","5","1","5","4","5","1","2","4","2","5","1","3","1","4","5","5","5","7104","2581","2852","2795","9266","3006","6193","8180","2722","2808","2933","2472","4183","2591","2947","2223","2915","2226","5137","2008","6542","2106","2993","3703","1006","2639","2344","985","2184","4128","3577","3588","4490","2139","2893","4017","2089","2572","3198","3030","2506","2817","2381","2626","2198","2393","2589","2341","2532","1882","2017-10-26 15:51:58","360","740","10","163",12,1,"US","38.0","-97.0"
