"ORIGIN","ORIGIN_AIRPORT_ID","DEST","DEST_AIRPORT_ID"
"ACK",10154,"ACK",10154
"ACK",10154,"BBX",10504
"ACK",10154,"BED",10540
"ACK",10154,"BOS",10721
"ACK",10154,"BVY",10815
"ACK",10154,"EWR",11618
"ACK",10154,"HPN",12197
"ACK",10154,"HTO",12222
"ACK",10154,"LCI",12916
"ACK",10154,"MMU",13398
"ACK",10154,"MTP",13507
"ACK",10154,"MVY",13541
"ACK",10154,"TEB",15167
"ANP",10309,"HPN",12197
"APA",10325,"DWH",11453
"APF",10329,"HPN",12197
"AUS",10423,"BNA",10693
"BBX",10504,"ACK",10154
"BBX",10504,"FID",11675
"BDL",10529,"BOS",10721
"BDR",10535,"ACK",10154
"BED",10540,"ACK",10154
"BED",10540,"ESN",11592
"BED",10540,"HNC",12168
"BED",10540,"HPN",12197
"BED",10540,"HTO",12222
"BED",10540,"JFK",12478
"BHB",10589,"HPN",12197
"BID",10613,"HPN",12197
"BID",10613,"LEB",12932
"BLM",10670,"MNZ",13418
"BNA",10693,"ORF",13931
"BNA",10693,"PDK",14050
"BOS",10721,"ACK",10154
"BOS",10721,"HPN",12197
"BOS",10721,"HYA",12250
"BOS",10721,"ISP",12391
"BOS",10721,"ME4",16553
"BOS",10721,"MTP",13507
"BOS",10721,"MVY",13541
"BOS",10721,"PA5",16525
"BTV",10785,"MHT",13296
"BUF",10792,"HPN",12197
"BUF",10792,"JFK",12478
"BVY",10815,"ACK",10154
"BVY",10815,"PNE",14182
"BWI",10821,"GMU",11947
"CGE",10964,"TEB",15167
"CON",11106,"HPN",12197
"DE2",16520,"HPN",12197
"DUJ",11441,"HPN",12197
"DWH",11453,"AUS",10423
"DXR",11456,"FRY",11773
"DXR",11456,"ME2",16503
"DXR",11456,"OSU",13958
"EEN",11493,"TEB",15167
"ESN",11592,"BED",10540
"EWB",11615,"ACK",10154
"EWB",11615,"TEB",15167
"EWR",11618,"GBR",11862
"FDK",11656,"HNC",12168
"FID",11675,"BBX",10504
"FID",11675,"FOK",11728
"FID",11675,"FRG",11764
"FID",11675,"HPN",12197
"FID",11675,"MMU",13398
"FID",11675,"TEB",15167
"FOK",11728,"FID",11675
"FOK",11728,"MVY",13541
"FRG",11764,"BED",10540
"FRG",11764,"FID",11675
"FRY",11773,"DXR",11456
"GBR",11862,"JFK",12478
"GED",11883,"HPN",12197
"GON",11961,"TEB",15167
"HFD",12108,"MTP",13507
"HGR",12119,"HPN",12197
